num_topics,alpha,beta,coherence,silhouette
3,asymmetric,0.9,0.2459065493345062,0.7792738118636378
3,asymmetric,0.8,0.2506608751744828,0.757231064142787
4,asymmetric,0.9,0.2751806614607597,0.6358295041021703
4,asymmetric,0.8,0.2728951873244856,0.6146949081907408
5,asymmetric,0.9,0.2905173880209822,0.5929313992714301
5,asymmetric,0.8,0.294630344263439,0.559220416274077
6,asymmetric,0.9,0.26463633667636755,0.5906695218096252
6,asymmetric,0.8,0.2555925317690461,0.5520701348488861
7,asymmetric,0.9,0.3019905624348632,0.4430220568532373
7,asymmetric,0.8,0.26531578168836056,0.41630734032150224
3,symmetric,0.2,0.304845271343355,0.6019611187381703
3,symmetric,0.4,0.3163593771697553,0.6055009049611193
3,symmetric,0.6,0.31821198164766235,0.6087451274402115
3,0.3,0.2,0.304845271343355,0.6023409807737369
3,0.3,0.4,0.3124651674147214,0.6068286568440201
3,0.3,0.6,0.3161819640176155,0.6102524293015088
3,0.5,0.2,0.3145026410085479,0.6088289207716854
3,0.5,0.4,0.3136014851503105,0.6079688703036923
3,0.5,0.6,0.31661904102755795,0.6077472177140627
3,0.7,0.2,0.3024733690126593,0.6212365491088743
3,0.7,0.4,0.3117038653478058,0.6183898253183221
3,0.7,0.6,0.3145772036873017,0.617298883587542
4,symmetric,0.2,0.31089155932110263,0.4784866614185781
4,symmetric,0.4,0.3098779293145905,0.4743869947508611
4,symmetric,0.6,0.31164115658531033,0.4768622097391877
4,0.3,0.2,0.3197573637110867,0.4759886676007127
4,0.3,0.4,0.3159634541594291,0.4739262181418891
4,0.3,0.6,0.31164115658531033,0.4749644001500268
4,0.5,0.2,0.3058644990391457,0.4810214879561896
4,0.5,0.4,0.3247740589315464,0.4759668991182272
4,0.5,0.6,0.32333155084943976,0.4766946020459192
4,0.7,0.2,0.29657027704013283,0.4982257456853537
4,0.7,0.4,0.3011791433360161,0.4917295095150527
4,0.7,0.6,0.30358527389952306,0.489496204376044
5,symmetric,0.2,0.2968517941018429,0.394063136404298
5,symmetric,0.4,0.29718876979691083,0.3908276724453578
5,symmetric,0.6,0.2993357859791884,0.3854179334055928
5,0.3,0.2,0.2997551247663043,0.3889147654937824
5,0.3,0.4,0.298663042016776,0.3877645630491788
5,0.3,0.6,0.302870935535038,0.3831979324205105
5,0.5,0.2,0.2914939333222613,0.4021915672266077
5,0.5,0.4,0.3025444587006684,0.3918930627275263
5,0.5,0.6,0.3010836257546249,0.3870701230417118
5,0.7,0.2,0.2983154932978797,0.4204352139131085
5,0.7,0.4,0.3015007074007459,0.40743082092193417
5,0.7,0.6,0.3061518747022829,0.4032677421397932
6,symmetric,0.2,0.29232638781207043,0.3249722863086736
6,symmetric,0.4,0.2881529984998313,0.3165071130048729
6,symmetric,0.6,0.28520622088838593,0.30677523585144983
6,0.3,0.2,0.2875451841911471,0.3302204919733473
6,0.3,0.4,0.28791238261872104,0.3180729799801637
6,0.3,0.6,0.2860770868546505,0.3004820843436394
6,0.5,0.2,0.2907291958255636,0.3391350585274318
6,0.5,0.4,0.2936758924522839,0.3297557613722903
6,0.5,0.6,0.2956272245553341,0.3145763312730733
6,0.7,0.2,0.2915321796658306,0.3643856047385192
6,0.7,0.4,0.2914561167489362,0.35243828018487383
6,0.7,0.6,0.29544283023788204,0.33769240032068515
7,symmetric,0.2,0.2811984841875526,0.28550076397177016
7,symmetric,0.4,0.2799584859006254,0.28226406198938864
7,symmetric,0.6,0.2769581295625218,0.2866712167781149
7,0.3,0.2,0.28330914261158296,0.2870839299022324
7,0.3,0.4,0.2857289831210812,0.2852802837642497
7,0.3,0.6,0.28215600019750225,0.2868525451061705
7,0.5,0.2,0.2993858630794489,0.2864837403289821
7,0.5,0.4,0.2957236701176157,0.2754049429540887
7,0.5,0.6,0.2914535180593058,0.2740588090589729
7,0.7,0.2,0.2969043044571161,0.3044905964074988
7,0.7,0.4,0.30053389955896537,0.29371934653061443
7,0.7,0.6,0.3020453971684958,0.2760199548215849
